Distrito,Tmin_Media_C
SAN FRANCISCO DE CAYRAN,9.14
SAN MIGUEL,9.14
ORONCCOY,9.17
HUASO,9.2
MARISCAL CASTILLA,9.22
SANTIAGO DE PISCHA,9.24
JACOBO HUNTER,9.24
SANTA ROSA,9.28
NINABAMBA,9.33
JIRCAN,9.34
PAUCARPATA,9.35
CACERES DEL PERU,9.37
QUILLO,9.37
TAURIPAMPA,9.41
ANDARAY,9.42
PEDRO GALVEZ,9.46
LA CUESTA,9.48
CHAVIN,9.49
INKAWASI,9.49
SANTA CRUZ DE CHUCA,9.49
QUEROCOTO,9.49
SIVIA,9.49
IGUAIN,9.5
LAMPIAN,9.53
AMBO,9.55
PULAN,9.55
CALLAHUANCA,9.56
MONTEVIDEO,9.56
JESUS NAZARENO,9.57
YANATILE,9.59
PIAS,9.59
CORIS,9.6
SAN PEDRO DE CACHORA,9.6
HUANIPACA,9.61
PAROBAMBA,9.63
HUAYOPATA,9.64
UCO,9.66
SAN PEDRO,9.68
CHOTA,9.69
LA PRIMAVERA,9.69
OXAMARCA,9.7
ALFONSO UGARTE,9.74
TIBILLO,9.76
SAMUGARI,9.76
RANRAHIRCA,9.76
COCHAS,9.78
SHUNTE,9.79
SOLOCO,9.82
OCANA,9.84
OMAS,9.9
BAMBAS,9.91
LLAPO,9.91
SAN JUAN DE LOPECANCHA,9.93
CANARIS,9.95
LA JALCA,9.95
CHILLIA,9.97
COLCAMAR,9.98
ANDAYMARCA,9.98
USQUIL,9.99
PACCHO,10.0
COMAS,10.01
AYACUCHO,10.02
INGUILPATA,10.05
MOLINOPAMPA,10.09
OTUZCO,10.11
COSPAN,10.12
SALCAHUASI,10.12
LLACLLIN,10.14
VITOC,10.16
CATAHUASI,10.17
CHIGUIRIP,10.19
ILABAYA,10.19
CHUQUIBAMBA,10.2
SANTA EULALIA,10.2
CONDORMARCA,10.23
SAN ISIDRO DE MAINO,10.26
COCHABAMBA,10.26
CONCHAN,10.27
COCHORCO,10.29
YUPAN,10.29
PACOBAMBA,10.29
ARAHUAY,10.3
LUYA,10.32
HUANCABAMBA,10.33
TINGO,10.36
PARCOY,10.37
CARAVELI,10.4
CHONTABAMBA,10.4
INCAHUASI,10.41
KAQUIABAMBA,10.45
PACAYCASA,10.46
CHACCHO,10.53
HUANUHUANU,10.55
TACABAMBA,10.57
SOCOTA,10.57
AMBAR,10.61
IHUARI,10.62
ACAS,10.62
LEVANTO,10.65
QUICHES,10.65
LA CAPILLA,10.65
SAN ANTONIO,10.66
EL CARMEN DE LA FRONTERA,10.69
EL CARMEN,10.71
HUAYAN,10.71
VILLA VIRGEN,10.72
CHINCHO,10.73
YAUYUCAN,10.75
TAUCA,10.76
PARARIN,10.77
QUISHUAR,10.78
SAN NICOLAS,10.84
LAMUD,10.85
JOSE SABOGAL,10.86
LUCMA,10.88
LAJAS,10.9
HUAC-HUAS,10.9
QUINOCAY,10.91
HUARANCHAL,10.92
PALLASCA,10.94
CAJABAMBA,10.95
SONDORILLO,10.95
CHOLON,10.98
SANTA CRUZ DE TOLED,11.02
HUANCANO,11.02
YANAQUIHUA,11.05
CHONTALI,11.05
CHILIQUIN,11.07
HUANCAPON,11.08
CONTUMAZA,11.08
EDUARDO VILLANUEVA,11.09
COCHAMAL,11.12
JORGE CHAVEZ,11.13
SANTIAGO DE TUNA,11.15
MAGDALENA,11.15
LURICOCHA,11.15
YANAC,11.15
URPAY,11.17
CONILA,11.17
LOS CHANKAS,11.17
AYNA,11.17
JUMBILLA,11.19
SANTIAGO DE CHALLAS,11.19
SAN ANDRES DE CUTERVO,11.21
HUAMBO,11.22
SAUCEPAMPA,11.22
UCHUMAYO,11.3
PILLCO MARCA,11.32
LONYA CHICO,11.32
ASUNCION,11.33
INDEPENDENCIA,11.43
CHOCOS,11.46
MANAS,11.47
ANDARAPA,11.54
CHINCHAO,11.56
LONGAR,11.58
UMARI,11.6
SAN BARTOLOME,11.61
YANAHUAYA,11.61
SURCUBAMBA,11.63
SAN LUIS DE LUCMA,11.66
CHUMUCH,11.68
CUTERVO,11.72
MARISCAL BENAVIDES,11.72
HUACCANA,11.73
TOMAY KICHWA,11.74
UTCO,11.75
ALTO DE LA ALIANZA,11.76
CHETO,11.77
BAMBAMARCA,11.77
LA JOYA,11.77
CIUDAD NUEVA,11.82
VITOR,11.85
CONCHAMARCA,11.85
CALANA,11.86
LLAMA,11.87
HUAMBOS,11.9
CHISQUILLA,11.91
SAN JUAN DE SIGUAS,11.92
ICHOCAN,11.93
TABACONAS,11.94
HUAMANTANGA,11.95
SAN JOSE,11.95
LA PAMPA,11.97
SUMBILCA,12.0
QUEROCOTILLO,12.02
PUEBLO LIBRE,12.05
SANTA RITA DE SIGUAS,12.11
CHADIN,12.15
MIRACOSTA,12.16
ANGUIA,12.17
LUYA VIEJO,12.19
LIMABAMBA,12.21
MOQUEGUA,12.24
SAN RAMON,12.25
YAUCA DEL ROSARIO,12.26
SAN FRANCISCO DE DAGUAS,12.27
HUANCARQUI,12.27
SAN PABLO DE PILLAO,12.27
APLAO,12.27
HUICUNGO,12.28
SANTA ISABEL DE SIGUAS,12.3
POCOLLAY,12.3
SAN MIGUEL DE ACOS,12.31
MACATE,12.33
SAYAPULLO,12.39
CHACHAPOYAS,12.4
SALLIQUE,12.42
CHARAT,12.43
SAMEGUA,12.44
COCHAPETI,12.45
TACNA,12.45
TAURIJA,12.49
INCLAN,12.52
MAJES,12.52
CHAPARRA,12.55
UTICYACU,12.59
MONZON,12.61
SONCHE,12.61
MARIANO NICOLAS VALCARCEL,12.65
SEXI,12.65
CORTEGANA,12.67
PATAZ,12.68
SANTO DOMINGO DE LA CAPILLA,12.69
OXAPAMPA,12.69
ZUNIGA,12.73
ANTONIO RAYMONDI,12.74
KOSNIPATA,12.74
SAN BERNARDINO,12.75
OCONA,12.77
FLORIDA,12.77
SANTA ROSA DE ALTO YANAJANCA,12.79
PAMPAS GRANDE,12.87
CHAGLLA,12.87
MOLLENDO,12.88
CHANCHAMAYO,12.92
ATICO,12.92
LA RAMADA,12.94
OCALLI,12.94
HUANUCO,12.95
SARTIMBAMBA,12.96
SONDOR,12.97
SITACOCHA,12.98
POMAHUACA,13.03
PISUQUIA,13.04
CHANCAYBANOS,13.07
HUANCAS,13.07
SAN PABLO,13.08
NIEPOS,13.1
SAN JOSE DE LOS MOLINOS,13.1
VISTA ALEGRE,13.14
CATACHE,13.15
SALPO,13.17
SINSICAP,13.19
LOCUMBA,13.2
URACA,13.2
LLAYLLA,13.22
CHURUJA,13.23
CAMANTI,13.23
COROSHA,13.23
UCUNCHA,13.24
VALERA,13.28
SAN JUAN DE LICUPIS,13.28
CONDEBAMBA,13.3
JAQUI,13.33
OMIA,13.33
BOLOGNESI,13.35
PACARAN,13.35
HUAYO,13.36
LLOCHEGUA,13.39
ACARI,13.43
AMARILIS,13.44
SAN CARLOS,13.47
BOLIVAR,13.47
CELENDIN,13.5
SANTO DOMINGO DE LOS OLLEROS,13.51
ALTO INAMBARI,13.51
RIO GRANDE,13.53
SHIPASBAMBA,13.54
SAN FELIPE,13.57
CHALACO,13.6
COCACHACRA,13.62
OCUMAL,13.66
ATIQUIPA,13.67
NAMBALLE,13.71
ANTIOQUIA,13.74
PACAIPAMPA,13.74
OCUCAJE,13.79
COLQUIOC,13.8
SANTA CATALINA,13.83
UNION AGUA BLANCA,13.84
POZUZO,13.88
AYAPATA,13.9
SANTA CRUZ,13.92
SANTA CRUZ DE COCACHACRA,13.94
MARANURA,13.99
CHIRIMOTO,14.0
KIMBIRI,14.01
CHOROPAMPA,14.01
CHANCAY,14.02
NICOLAS DE PIEROLA,14.02
LA TINGUINA,14.03
TOTORA,14.07
ICA,14.07
PACHACUTEC,14.1
MARCONA,14.15
MARISCAL CACERES,14.16
EL ALGARROBAL,14.18
CASCAS,14.2
SANTA ROSA DE QUIVES,14.22
PARDO MIGUEL,14.27
YAUCA,14.3
COCABAMBA,14.33
QUILCA,14.33
JAZAN,14.38
SUBTANJALLA,14.39
MARMOT,14.43
LOS AQUIJES,14.44
COASA,14.45
CUISPES,14.45
ISLAY,14.47
BALSAS,14.49
BELLA UNION,14.54
HUMAY,14.57
PAMPA HERMOSA,14.58
SAN JOSE DEL ALTO,14.58
ECHARATE,14.62
SAN RAFAEL,14.62
CALLAYUC,14.63
EL INGENIO,14.68
SAN LUIS,14.7
COLASAY,14.71
LOMAS,14.72
CHANGUILLO,14.77
PARCONA,14.78
MILPUC,14.79
LUNAHUANA,14.79
SANTO DOMINGO,14.8
CORONEL GREGORIO ALBARRACIN LANCHIPA,14.8
NASCA,14.81
LIMBANI,14.83
PUNTA DE BOMBON,14.85
SAN GABAN,14.88
CHALA,14.88
SAN JUAN DEL ORO,14.88
JAMALCA,14.89
MEJIA,14.9
FRIAS,14.92
AYABACA,14.92
PALPA,14.97
CALANGO,14.97
CUPISNIQUE,14.99
SAMA,15.04
QUELLOUNO,15.05
PICHARI,15.07
CAJARURO,15.12
HUARMACA,15.13
RICARDO PALMA,15.15
JAEN,15.18
TANTARICA,15.18
PIMPINGOS,15.26
ALTO LARAN,15.29
LA ESPERANZA,15.3
ITE,15.36
COAYLLO,15.36
YAUTAN,15.36
PARACAS,15.37
CHACLACAYO,15.44
LURIGANCHO,15.45
YAMANGO,15.48
SALAS,15.48
LLIPATA,15.49
SAYAN,15.5
CAMPORREDONDO,15.54
HUABAL,15.58
SAN LUIS DE SHUARO,15.63
ATE,15.64
VILLA KINTIARINA,15.65
CHINCHA ALTA,15.67
BELEN,15.68
CHIMBAN,15.7
NUEVA CAJAMARCA,15.71
YAMBRASBAMBA,15.74
LONYA GRANDE,15.76
QUILMANA,15.77
SAN ANDRES,15.77
LONGOTEA,15.78
PACOCHA,15.8
NUEVO IMPERIAL,15.82
AWAJUN,15.83
ELIAS SOPLIN VARGAS,15.83
ILO,15.84
SAN BENITO,15.87
GROCIO PRADO,15.88
LA COIPA,15.92
SAN JUAN BAUTISTA,15.95
CIENEGUILLA,15.96
VIZCATAN DEL ENE,15.97
LA YARADA LOS PALOS,16.0
DEAN VALDIVIA,16.02
MAZAMARI - PANGOA,16.04
LALAQUIZ,16.04
HUARAL,16.05
TUPAC AMARU INCA,16.17
SIMBAL,16.17
MORO,16.21
SAN JOSE DE LOURDES,16.23
SAN VICENTE DE CANETE,16.23
PUNTA NEGRA,16.26
VILLA RICA,16.29
YAMON,16.31
AUCALLAMA,16.32
SAMUEL PASTOR,16.32
CANCHAQUE,16.33
PERENE,16.33
HUARMEY,16.34
PROVIDENCIA,16.35
TOCMOCHE,16.35
CHILETE,16.36
CARABAYLLO,16.38
SAPILLICA,16.4
CHILCA,16.44
ASIA,16.44
ANCON,16.45
SAN MIGUEL DE EL FAIQUE,16.46
SANTA CRUZ DE FLORES,16.49
SAN CLEMENTE,16.5
PUNTA HERMOSA,16.5
CHAO,16.53
SAN BARTOLO,16.56
BUENA VISTA ALTA,16.56
SAN JUAN DE LURIGANCHO,16.57
LA MORADA,16.6
POLVORA,16.61
PACHACAMAC,16.62
MALA,16.63
LURIN,16.66
IMPERIAL,16.67
EL AGUSTINO,16.69
PION,16.69
CERRO AZUL,16.71
SUPE,16.73
HUAURA,16.74
VEGUETA,16.75
SANTA MARIA,16.77
LAS PIRIAS,16.78
MARIANO DAMASO BERAUN,16.79
HUACHO,16.79
SAN JUAN DE CUTERVO,16.82
SAN GREGORIO,16.83
PARAMONGA,16.87
SORITOR,16.88
SANTA MARIA DEL MAR,16.9
PUENTE PIEDRA,16.9
ALTO SAPOSOA,16.91
CULEBRAS,16.91
PUEBLO NUEVO,16.93
POROTO,16.93
CASMA,16.95
VIRU,17.01
PICHANAQUI,17.04
EL PORVENIR,17.05
VENTANILLA,17.06
PATIVILCA,17.07
SUPE PUERTO,17.09
NEPENA,17.09
SUNAMPE,17.11
JOSE CRESPO Y CASTILLO,17.12
CHIMBOTE,17.13
LA MOLINA,17.14
VILLA MARIA DEL TRIUNFO,17.15
CHINCHA BAJA,17.22
LAREDO,17.23
SICCHEZ,17.23
DANIEL ALOMIA ROBLES,17.27
MONTERO,17.31
JEPELACIO,17.32
SAN MARTIN,17.34
SALAVERRY,17.35
CHIRINOS,17.36
LA FLORIDA,17.38
CAMANA,17.38
CANAYRE,17.38
COMANDANTE NOEL,17.39
NUEVO CHIMBOTE,17.4
CUMBA,17.49
HUARANGO,17.49
SAMANCO,17.5
SAN IGNACIO,17.5
BAGUA GRANDE,17.54
PUCAYACU,17.55
ALONSO DE ALVARADO,17.55
RIO TAMBO,17.59
SANTA CATALINA DE MOSSA,17.6
GUADALUPITO,17.62
HUANCHACO,17.63
CUJILLO,17.65
CASA GRANDE,17.67
NANCHOC,17.68
COISHCO,17.69
SANTA,17.7
CHOCHOPE,17.73
SATIPO,17.76
SAN MARTIN DE PORRES,17.78
VILLA EL SALVADOR,17.79
RAZURI,17.8
CALLAO,17.82
ASCOPE,17.86
SAN PEDRO DE LLOC,17.88
CHICAMA,17.9
OYOTUN,17.92
SAN JUAN DE MIRAFLORES,17.97
HERMILIO VALDIZAN,17.97
CHOCOPE,18.01
PAIJAN,18.02
JILILI,18.03
PACASMAYO,18.03
PUCALA,18.05
PACANGA,18.06
YONAN,18.06
MAGDALENA DE CAO,18.07
SANTO DOMINGO DE ANDA,18.08
VICTOR LARCO HERRERA,18.08
MOCHE,18.09
CAYALTI,18.1
YORONGOS,18.12
CHEPEN,18.14
CHOROS,18.14
FERRENAFE,18.16
MOYOBAMBA,18.18
CHORRILLOS,18.18
JEQUETEPEQUE,18.18
GUADALUPE,18.19
ILLIMO,18.2
PATAPO,18.21
TUMAN,18.22
TORIBIO CASANOVA,18.23
MOCHUMI,18.24
TUCUME,18.25
ETEN PUERTO,18.29
PACHIZA,18.31
ARAMANGO,18.31
MONSEFU,18.31
PINTO RECODO,18.31
SANA,18.32
RIOJA,18.32
ETEN,18.33
SANTIAGO DE CAO,18.34
JAYANCA,18.34
LAGUNAS,18.37
PITIPO,18.37
PACORA,18.39
COVIRIALI,18.39
PICSI,18.4
LAMBAYEQUE,18.42
COPALLIN,18.44
LA VICTORIA,18.47
PIMENTEL,18.47
POMALCA,18.49
MANUEL ANTONIO MESONES MURO,18.51
CAMPANILLA,18.52
REQUE,18.52
MORROPE,18.52
MOTUPE,18.54
JOSE LEONARDO ORTIZ,18.55
NUEVA ARICA,18.58
TRUJILLO,18.59
TOCACHE,18.62
SAN ROQUE DE CUMBAZA,18.71
CHICLAYO,18.73
CHONGOYAPE,18.74
CODO DEL POZUZO,18.76
LA PECA,18.81
TABALOSOS,18.84
OLMOS,18.9
RUPA-RUPA,18.9
PAIMAS,18.92
ALTO BIAVO,18.94
UCHIZA,18.97
HABANA,18.97
SALITRAL,18.99
PALCAZU,19.03
YANTALO,19.06
CALZADA,19.06
PUERTO BERMUDEZ,19.06
RIO NEGRO,19.07
CASTILLO GRANDE,19.09
POSIC,19.09
BARRANCA,19.13
SAN FERNANDO,19.18
SAPOSOA,19.25
NUEVO PROGRESO,19.26
LUYANDO,19.29
SECHURA,19.29
MORROPON,19.3
CATACAOS,19.33
IMAZA,19.34
LA MATANZA,19.34
MANU,19.37
PAITA,19.45
YURACYACU,19.46
SAN JUAN DE BIGOTE,19.49
CHULUCANAS,19.49
SAUCE,19.6
TRES UNIDOS,19.61
VICE,19.65
ZAPATERO,19.68
CRISTO NOS VALGA,19.69
CURA MORI,19.74
COLAN,19.78
EL TALLAN,19.79
LA BREA,19.8
LA ARENA,19.81
EL CENEPA,19.83
LA HUACA,19.83
VEINTISEIS DE OCTUBRE,19.85
MARCAVELICA,19.91
LAS LOMAS,19.92
BERNAL,19.92
AMOTAPE,19.93
LANCONES,19.93
VICHAYAL,19.93
CASTILLA,19.96
SHAMBOYACU,19.96
MIGUEL CHECA,19.99
RUMISAPA,19.99
SUYO,20.0
BUENOS AIRES,20.04
BELLAVISTA DE LA UNION,20.04
PIURA,20.05
TAMARINDO,20.05
IGNACIO ESCUDERO,20.08
PADRE ABAD,20.08
TAMBO GRANDE,20.08
QUERECOTILLO,20.08
PARINAS,20.14
SAN JOSE DE SISA,20.17
SAN PEDRO DE PUTINA PUNCO,20.19
EL MILAGRO,20.2
SULLANA,20.2
CUNUMBUQUI,20.23
EL ALTO,20.37
PISCOYACU,20.4
LAMAS,20.4
CONSTITUCION,20.41
LOBITOS,20.48
LA BANDA DE SHILCAYO,20.49
CHAZUTA,20.66
BELLAVISTA,20.69
AGUA BLANCA,20.72
PAMPAS DE HOSPITAL,20.73
MATAPALO,20.75
BAJO BIAVO,20.77
CASITAS,20.81
JUANJUI,20.83
SHAPAJA,20.86
HUEPETUHE,20.87
SAN JACINTO,20.9
LOS ORGANOS,20.96
BALSAPUERTO,20.99
SACANCHE,21.01
BAGUA,21.03
HUIMBAYOC,21.11
TARAPOTO,21.12
JUAN GUERRA,21.14
SHATOJA,21.14
ALBERTO LEVEAU,21.19
MEGANTONI,21.19
CONTAMANA,21.2
MANCORA,21.27
EL ESLABON,21.34
RAIMONDI,21.36
NIEVA,21.39
TINGO DE PONASA,21.4
PAJARILLO,21.43
CACATACHI,21.44
PILLUANA,21.44
HUALLAGA,21.44
SAN JUAN DE LA VIRGEN,21.46
PUCACACA,21.52
CANOAS DE PUNTA SAL,21.54
PUERTO INCA,21.59
CAYNARACHI,21.62
MADRE DE DIOS,21.65
CASPISAPA,21.68
IBERIA,21.69
RIO SANTIAGO,21.69
IPARIA,21.69
MORALES,21.7
TINGO DE SAPOSOA,21.7
BARRANQUITA,21.72
TAHUAMANU,21.74
FITZCARRALD,21.78
INAPARI,21.79
YUYAPICHIS,21.82
ZORRITOS,21.83
MANSERICHE,21.83
CAHUAPANAS,21.85
PICOTA,21.85
TAHUANIA,21.86
ALEXANDER VON HUMBOLDT,21.86
PURUS,21.86
TUMBES,21.88
VARGAS GUERRA,21.91
CAMPOVERDE,21.91
SAN HILARION,21.92
NESHUYA,21.94
CALLERIA,21.94
INAHUAYA,21.96
PAPAYAL,22.0
LAS PIEDRAS,22.0
ALTO TAPICHE,22.02
CURIMANA,22.03
TAMBOPATA,22.04
TOURNAVISTA,22.05
CHIPURANA,22.05
NUEVA REQUENA,22.05
HONORIA,22.06
YURUA,22.07
PADRE MARQUEZ,22.09
IRAZOLA,22.1
MASISEA,22.1
PAPAPLAYA,22.15
YARINACOCHA,22.15
SEPAHUA,22.15
MANANTAY,22.18
LA CRUZ,22.19
TENIENTE CESAR LOPEZ ROJAS,22.27
SARAYACU,22.28
MAQUIA,22.28
SOPLIN,22.29
CORRALES,22.3
INAMBARI,22.31
LABERINTO,22.36
YURIMAGUAS,22.39
EMILIO SAN MARTIN,22.4
TORRES CAUSANA,22.42
TROMPETEROS,22.43
YAQUERANA,22.44
TAPICHE,22.46
TENIENTE MANUEL CLAVERO,22.47
TIGRE,22.5
PUINAHUA,22.5
NAPO,22.52
ROSA PANDURO,22.55
ALTO NANAY,22.56
JEBEROS,22.57
CAPELO,22.59
REQUENA,22.6
SAQUENA,22.62
JENARO HERRERA,22.62
ZARUMILLA,22.65
ANDOAS,22.65
PARINARI,22.65
MAZAN,22.68
AGUAS VERDES,22.69
FERNANDO LORES,22.7
URARINAS,22.7
NAUTA,22.71
PUNCHANA,22.72
YAVARI,22.75
INDIANA,22.76
PUTUMAYO,22.78
IQUITOS,22.78
LAS AMAZONAS,22.81
PEBAS,22.88
PASTAZA,22.92
RAMON CASTILLA,22.97
YAGUAS,23.01
MORONA,23.01
ANDRES AVELINO CACERES DORREGARAY,
ARENAL,
ATAURA,
BARRANCO,
BRENA,
CAHUAC,
CALETA DE CARQUIN,
CARMEN ALTO,
CARMEN DE LA LEGUA REYNOSO,
CHACABAMBA,
CHAUPIMARCA,
CHUPACA,
CUTURAPI,
EL PARCO,
FLORENCIA DE MORA,
HUACASCHUQUE,
HUACHAC,
HUALMAY,
HUAMALI,
HUANCAN,
HUARIPAMPA,
HUAYLLAHUARA,
IZCUCHACA,
JAUJA,
JESUS MARIA,
JOSE LUIS BUSTAMANTE Y RIVERO,
JOSE MARIA QUIMPER,
LA PERLA,
LA PUNTA,
LIMA,
LINCE,
LOS OLIVOS,
MAGDALENA DEL MAR,
MI PERU,
MOLLEBAYA,
MUQUI,
NUEVE DE JULIO,
PANCAN,
PISCO,
PUCUSANA,
QUICHUAY,
RAHUAPAMPA,
RECTA,
RIMAC,
RINCONADA LLICUAR,
SABANDIA,
SACHACA,
SAN AGUSTIN,
SAN BORJA,
SAN JERONIMO DE TUNAN,
SAN LORENZO,
SAN PEDRO DE CHUNAN,
SANO,
SANTA ANITA,
SANTIAGO DE SURCO,
SAUSA,
SAYLLA,
SHANAO,
SOCABAYA,
SURQUILLO,
TAMBO DE MORA,
TATE,
TINCO,
TINICACHI,
TRITA,
UNICACHI,
VIQUES,
YANAHUARA,
YUCAY,
